"1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","Country","Country ID"
-0.9462998874,-0.7463634415,-0.6233487947,-0.5698550897,-0.6342619555,-0.5381364292,-0.4133207665,-0.4272992921,-0.3917809757,-0.2330588488,-0.1338997836,-0.158296405,-0.212371256,-0.2421608493,-0.2591575782,-0.1465651322,-0.0644143295,-0.1094780389,-0.0414214983,-0.0849416095,-0.0820392054,-0.1088831044,-0.1628437198,-0.1175329693,"Egypt","afegy"
-0.4090448635,-0.3425194949,-0.2895752932,-0.2465197367,-0.2886683723,-0.4089152142,-0.372447731,-0.3578053076,-0.268325361,-0.0757903162,0.0725213634,0.0689921554,-0.0097830709,0.0103076981,-0.0154298367,0.0442412401,0.1233874733,0.1592968489,0.2268355344,0.2766019665,0.1801395888,0.1774981463,0.1122581632,0.1169642956,"El Salvador","naslv"
,,,,,,,,,,,,,-0.9383657861,-0.8695180605,-0.8208031197,-0.8395963796,-0.7783017828,-0.7244257925,-0.897622915,-0.7177618311,-0.8741676391,-0.7567430402,-0.7945319345,"Ethiopia","afeth"
1.734431327,1.6707155997,1.6655358448,1.7966951735,1.7827618756,1.7758231075,1.8770675021,1.7673998884,1.7093275684,1.5668883379,1.5142840491,1.5817468235,1.5544066025,1.5374638807,1.4896137056,1.4849775325,1.5250514595,1.4631749018,1.3102396845,1.3783812135,1.3914190462,1.4317121965,1.4292216953,1.3643817554,"Finland","eufin"
1.4912296765,1.495747909,1.5015249103,1.4840894356,1.4469386787,1.4174912991,1.4668511042,1.428933369,1.3675761839,1.3071464003,1.3485551744,1.35398192,1.3846138041,1.431977823,1.3971800873,1.4050096789,1.36253964,1.3299721322,1.3027120481,1.3310615107,1.3140594834,1.2602084039,1.341175512,1.3380398312,"France","eufra"
-0.7841736428,-0.8105129122,-1.2177854697,-1.5524158575,-1.7844719432,-1.5147386089,-0.9058479098,-1.045888725,-1.5382813736,-1.4692481308,-1.4067429361,-1.2808818983,-1.6050312386,-1.3056686987,-1.4361796656,-1.3788488335,-1.7271225474,-1.6002357462,-1.553722743,-1.1288211118,-1.3254772835,-1.1950547088,-1.0800531134,-1.2492733756,"Gabon","afgab"
,,,,,,,,,-0.0277139608,-0.0985670812,-0.0390027613,-0.2383283483,-0.2046319903,-0.167869159,-0.0892049264,-0.1112990814,-0.1536970095,-0.2163280805,-0.3337070576,-0.1651227831,-0.1037557198,-0.2718796752,-0.0705650165,"Georgia","asgeo"
1.9694430323,1.9342901619,1.9238038801,1.9782858008,2.01223914,1.9987946113,2.0336643737,1.9951834612,1.9452016467,1.816185697,1.7986910002,1.8282214484,1.849138971,1.9086131891,1.9123477122,1.8632790346,1.8705213964,1.9244856024,1.9002107155,1.9681103593,1.9219239691,1.9224060758,1.9418785882,1.8727279027,"Germany","eudeu"
,-1.238045625,-1.2569262469,-1.1489612698,-1.3095455865,-1.3278829326,-1.2958704288,-1.2631288954,-1.136688515,-0.987707335,-0.7303115103,-0.8288318887,-0.8572878104,-0.7429539975,-0.8239160478,-0.7164178519,-0.9312755213,-0.762485455,-0.8012855399,-0.8915341362,-1.1738059715,-1.2150534262,-1.2393544242,-1.1843923765,"Ghana","afgha"
-0.0687364542,0.0547166715,0.1044709186,0.1344316192,0.1844750223,0.1727954611,0.2037824871,0.205759149,0.1653676328,0.2465808574,0.2468637801,0.2722844048,0.2348578487,0.2000772844,0.1568283875,0.2101065279,0.216686577,0.2641327164,0.2234795978,0.1826438029,0.1471706459,0.1505373196,0.1168903277,0.2779028722,"Greece","eugrc"
-0.3852940364,-0.3493442287,-0.2402840845,-0.290336824,-0.3316226178,-0.3576652044,-0.3897992864,-0.4312083257,-0.3165715921,-0.1561561135,-0.1156901045,-0.1552783106,-0.267370135,-0.2670722554,-0.3037881371,-0.1847238373,-0.1323875591,-0.181735431,-0.0709084618,-0.1493470498,-0.2020544796,-0.2389579719,-0.284281288,-0.1766521804,"Guatemala","nagtm"
,,,,,,,,,-1.8290485702,-1.8027472352,-1.8680547964,-1.6841362326,-1.6393770865,-1.8349818786,-1.560829541,-1.382661923,-1.5442141614,-1.6387954108,-1.5456109041,-1.6254672307,-1.5721068887,-1.738773179,-1.9425078812,"Guinea","afgin"
-1.1816068585,-1.0665257494,-0.8707059429,-0.8028381729,-0.8636685243,-0.9300856657,-0.8438625051,-0.8252064181,-0.6277185631,-0.4165544673,-0.4060122409,-0.4310309838,-0.4807665499,-0.4689480859,-0.4593973213,-0.4786117305,-0.3332610236,-0.404979526,-0.3118829291,-0.3842171336,-0.4176370413,-0.3647772376,-0.3573862398,-0.3416344383,"Honduras","nahnd"
-0.306713772,-0.1452509951,0.1627349233,0.2498906667,0.3336019723,0.4368104903,0.4644498933,0.4960155916,0.5954168273,0.6492149981,0.8061747244,0.8583117008,0.9575260977,1.0734657062,1.0923433764,0.9671683142,0.9890069827,0.9781095043,0.988593427,1.0844948376,1.1134916505,1.2121807908,1.2080811988,1.3035768267,"Hong Kong","ashkg"
0.5714413918,0.6373109562,0.6985755259,0.86571315,0.9632107294,0.9538591686,1.0442008847,1.0462502423,1.1574752632,1.2512101413,1.2854395267,1.2939647,1.2885084087,1.3528057603,1.3624402248,1.3583081858,1.3637020671,1.3898219953,1.3666517244,1.3660047536,1.3658053438,1.3467654851,1.3053086505,1.2829617788,"Hungary","euhun"
-0.0163494342,0.0251414834,0.1479674332,0.2211226971,0.2588614584,0.300924329,0.2672509601,0.2392582173,0.2696945135,0.3357257941,0.3915901223,0.324837326,0.3006505742,0.2705403917,0.3404533965,0.3197742884,0.342387087,0.3830238562,0.417947812,0.431034659,0.4225090555,0.43307569,0.4939660772,0.5218700455,"India","asind"
